"AppID","Name","Release.date","Price","Supported.languages","Full.audio.languages","Windows","Mac","Linux","Metacritic.score","User.score","Positive","Negative","Average.playtime.forever","Developers","Publishers","Categories"
"Toubatsu","Sep 13, 2024",NA,10,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']","[]","True","False","False",0,0,9,1,0,"ぽんこん堂","072 Project","Single-player,Steam Cloud,Family Sharing"
"Xpressorcist","Sep 5, 2024",NA,25,"['English']","['English']","True","False","False",0,0,0,0,0,"Nick Pettigrew","Nick Pettigrew","Single-player,Family Sharing"
"League of Felt Tanks: Together","Sep 15, 2024",NA,15,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","[]","True","True","False",0,0,0,0,0,"Utage Guys","Utage Guys","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Family Sharing"
"Utopia Must Fall","Sep 9, 2024",NA,10,"['English']","[]","True","True","False",0,0,119,3,0,"Pixeljam","Pixeljam","Single-player,Steam Achievements,Family Sharing"
"ELDORANTE","Sep 13, 2024",NA,20,"['English', 'Japanese', 'Simplified Chinese']","[]","True","False","False",0,0,15,2,0,"MOON KNIGHT SPARKLE","Kagura Games","Single-player,Steam Cloud,Family Sharing"
"Head To Hell 黄泉旅客","Sep 12, 2024",NA,10,"['English', 'Simplified Chinese', 'Traditional Chinese']","['English', 'Simplified Chinese', 'Traditional Chinese']","True","False","False",0,0,0,0,0,"Rainy City Production","Rainy City Production","Single-player,Family Sharing"
"Animal Water Pang!","Sep 5, 2024",NA,10,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","[]","True","False","False",0,0,1,0,0,"AFTERTIME.INC","CFK Co., Ltd.","Single-player,Full controller support,Family Sharing"
"OVRLRD","Sep 9, 2024",NA,20,"['English']","['English']","True","False","False",0,0,15,2,0,"Niall Slater","Niall Slater","Single-player,Steam Achievements,Tracked Controller Support,VR Supported,Steam Workshop,Steam Workshop,Includes level editor,Family Sharing"
"Sad Robot Lilly","Sep 7, 2024",NA,15,"['English']","['English']","True","False","False",0,0,0,0,0,"NSFWEntertainment","NSFWEntertainment","Single-player,Family Sharing"
"Seductress","Sep 6, 2024",NA,40,"['English', 'Simplified Chinese', 'Traditional Chinese']","['English', 'Traditional Chinese']","True","False","False",0,0,0,0,0,"PimpMaster","PimpMaster","Single-player,Partial Controller Support,Family Sharing"
"Witch 4 Hotel","Sep 5, 2024",NA,10,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese']","[]","True","False","True",0,0,0,0,0,"Towndarktales","Towndarktales","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
